"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
4.41387341917057,3.55455714566179,3.15990758980072,2.92774417280718,2.77285315299783,2.6613045229279,2.57672172925992,2.51015789538358,2.45628114915927,2.41170203983392,2.1906479255678,2.10714328186887
4.3807496923318,3.52189326057882,3.1273500051134,2.89510730750784,2.74005754168534,2.62831803833851,2.54353430142971,2.47677014745129,2.42269893712397,2.37793368728983,2.15549663713151,2.07118588359843
4.35124350332929,3.49282847673563,3.09839121214078,2.86608140201566,2.71088983720969,2.5989777115642,2.51401106299883,2.44706374797982,2.39281410844228,2.34787756699831,2.12415521291974,2.03908590418201
4.32479374318304,3.46680011154242,3.07246698639688,2.84009980747538,2.68478073017485,2.57271164050953,2.48757770372204,2.42046219735446,2.36604819203545,2.32095343930744,2.09603297655812,2.01024830005932
4.30094950177766,3.44335677936673,3.04912498865241,2.81670833964025,2.66127391711804,2.54906141384366,2.46377382996081,2.39650328376393,2.34193732766579,2.29669595693773,2.07065566124294,1.98419500171369
4.27934430914465,3.42213220786118,3.0279983823322,2.79553873736139,2.639999426053,2.52765532524218,2.44222608568486,2.37481212582063,2.32010524231663,2.27472758503325,2.04763804686297,1.9605374535104
4.25967727269023,3.40282610535019,3.00878657044736,2.77628928925148,2.62065414786289,2.50818882342325,2.42262853342091,2.35508149484621,2.30024352251484,2.2547388307326,2.02666397155395,1.93895654935385
4.24169905027714,3.38518996144917,2.99124090954995,2.75871046971763,2.60298740278706,2.49041001808741,2.40472810810058,2.3370572240603,2.28209698519891,2.23647358105051,2.0074714988038,1.91918773955113
4.22520127312749,3.36901635949544,2.97515396397339,2.74259413722186,2.58679008706259,2.47410878077096,2.38831367802511,2.32052723503375,2.26545267434728,2.21971807368516,1.9898417525776,1.90100981741215
4.21000846835975,3.3541308285292,2.96035131841129,2.72776530603399,2.57188640578415,2.45910844257833,2.3732077116306,2.30531317742743,2.25013147720267,2.20429249277265,1.97359040393398,1.88423636628073
