"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
5.87149376580808,4.46125549591925,3.85869866627322,3.51469516225841,3.28905584568041,3.12833996189709,3.0074163305213,2.91279652621012,2.83654608610482,2.77367137519908,2.46448429754212,2.34860243274175
5.82664776415982,4.41991816642085,3.81876068059137,3.47540846205265,3.2500835876781,3.08950899936072,2.96863033501069,2.87399927955641,2.79770391950302,2.7347639889588,2.4247352225885,2.30820832536393
5.78629913300893,4.3827684394668,3.78288585914206,3.44012632634102,3.21508658098901,3.05463878343006,2.93379867151027,2.83915458386986,2.76281524636826,2.69981265138965,2.3889828526691,2.2718396808944
5.74980482570433,4.34920215470742,3.75048578952194,3.40826783495206,3.18348776023578,3.02315428677001,2.90234736993234,2.80768896989939,2.73130677293591,2.66824405118467,2.35665160051489,2.2389192891348
5.71663862751807,4.31872580745245,3.72108019091511,3.37935898773912,3.15481634253311,2.9945864110906,2.87380818803789,2.77913458115311,2.70271075364237,2.6395903910729,2.32727144460862,2.20897557755321
5.68636580978177,4.29093236699631,3.69427321314316,3.3530092361483,3.1286844836295,2.96854871480925,2.84779538230485,2.7531059719427,2.67664180685823,2.61346621542759,2.30045478849217,2.1816194786595
5.65862410043105,4.2654831613689,3.66973569766867,3.32889392588097,3.10476981750298,2.9447200078768,2.82398833571418,2.72928275553268,2.65277957596707,2.58955107974364,2.27587914863788,2.15652712120795
5.63310920958784,4.24209412653373,3.64719172375228,3.30674098617346,3.08280222170543,2.92283116013263,2.80211839145296,2.70739645320863,2.63085558792281,2.56757641512109,2.25327402834233,2.13342670429571
5.60956368814048,4.22052524212474,3.62640828044847,3.28632071546611,3.0625536632068,2.90265498091708,2.7819587521748,2.68722040520921,2.61064317117007,2.5473154503474,2.23241084321532,2.11208842103706
5.58776825782235,4.20057232525099,3.60718724981433,3.26743785559114,3.04383032055836,2.88399836795425,2.76331664422774,2.66856194387724,2.59194963395551,2.52857539310828,2.21309510184791,2.09231663615735
5.56753499651077,4.18206059099611,3.58935912035186,3.2499253785634,3.02646640921589,2.86669615397525,2.74602717634945,2.65125625921801,2.57461013370308,2.51119130135695,2.19516027410503,2.07394375047163
5.34032321758807,3.97493086013866,3.39018878031185,3.05441497405267,2.83265407599141,2.67355497369057,2.55297370727072,2.45794198126621,2.38082088729425,2.31679416287275,1.99329449015215,1.86594021825741
5.1785939049245,3.82836692687105,3.24961884751657,2.9165820135864,2.69605895805813,2.53740315934319,2.41680666125519,2.32148052290019,2.24388940885503,2.17928040821753,1.84856071184281,1.71484887885012
5.07469751330538,3.73461302469652,3.15986662750078,2.82864753180054,2.60892993611296,2.45053746846537,2.32988711892186,2.2343106127126,2.1563427443786,2.09127384027083,1.75472449258823,1.61550164524804
